05913;Dortmund;572087;575944;580511;586181;585813
05914;Hagen;186243;185996;186716;189044;188266
05915;Hamm;176440;176048;176580;179397;179571
05916;Herne;154563;154417;154608;155851;156774
05954;Ennepe-Ruhr-Kreis;324223;322731;322916;325954;325374
05958;Hochsauerlandkreis;263720;261999;261561;263762;262269
05962;Märkischer Kreis;419976;416240;413820;416171;414886
05966;Olpe;135523;134947;134759;136365;134983
05970;Siegen-Wittgenstein;275594;274904;275909;280800;277933
05974;Soest;296029;294971;296742;302995;301655
05978;Unna;392940;391622;391774;396035;393869
06411;Darmstadt;147925;149743;151879;155353;157437
06412;Frankfurt am Main;687775;701350;717624;732688;736414
06413;Offenbach am Main;116945;119203;120988;123734;124589
06414;Wiesbaden;272636;273871;275116;276218;277619
06431;Bergstraße;261695;262322;263822;266928;267935
06432;Darmstadt-Dieburg;284413;285407;287966;292773;294744
06433;Groß-Gerau;254883;257301;260793;266042;269045
06434;Hochtaunuskreis;228098;229167;230798;233427;234991
06435;Main-Kinzig-Kreis;403134;404995;407619;411956;416715
06436;Main-Taunus-Kreis;226113;228021;229976;232848;235708
06437;Odenwaldkreis;96648;96201;96082;97000;96473
06438;Offenbach;336265;338300;341669;347357;349982
06439;Rheingau-Taunus-Kreis;180911;181190;182117;184114;185668
06440;Wetteraukreis;293940;295408;297369;301931;303914
06531;Gießen;253041;253820;259834;262505;265699
06532;Lahn-Dill-Kreis;252106;251327;251440;253167;254074
06533;Limburg-Weilburg;169904;169964;170385;171922;172120
06534;Marburg-Biedenkopf;241279;241656;241598;245241;245013
06535;Vogelsbergkreis;106947;106383;105763;107256;106737
06611;Kassel;192874;194087;194747;197984;199062
06631;Fulda;216093;216314;217326;220132;221170
06632;Hersfeld-Rotenburg;120165;119651;119394;121166;121037
06633;Kassel;234206;233352;233451;235813;236905
06634;Schwalm-Eder-Kreis;180279;179429;179466;180310;181105
06635;Waldeck-Frankenberg;157293;156607;156460;157592;157967
06636;Werra-Meißner-Kreis;100913;100356;100206;100715;100965
07111;Koblenz;109779;110643;111434;112586;113605
07131;Ahrweiler;125837;126102;126643;127770;128455
07132;Altenkirchen (Westerwald);129166;128373;128228;129171;128961
07133;Bad Kreuznach;155306;155297;155944;156821;157392
07134;Birkenfeld;81135;80673;80591;80615;80799
07135;Cochem-Zell;63475;63202;62041;62391;61864
07137;Mayen-Koblenz;210035;209785;210441;211925;212968
07138;Neuwied;179812;179454;179317;180655;181537
07140;Rhein-Hunsrück-Kreis;101002;100770;101945;102529;103026
07141;Rhein-Lahn-Kreis;121838;121375;121487;123543;122553
07143;Westerwaldkreis;198852;198704;199131;200302;201027
07211;Trier;106544;107233;108472;114914;110111
07231;Bernkastel-Wittlich;110833;110643;110981;111828;112006
07232;Eifelkreis Bitburg-Prüm;95946;96158;96408;97180;98021
07233;Vulkaneifel;61073;60765;60775;60794;60757
07235;Trier-Saarburg;143893;144337;145227;147999;147833
07311;Frankenthal (Pfalz);47035;47332;47724;48363;48445
07312;Kaiserslautern;97112;97162;97382;98520;99302
07313;Landau in der Pfalz;43641;43825;44465;45362;46006
07314;Ludwigshafen am Rhein;160179;161518;163832;164718;166621
07315;Mainz;202756;204268;206991;209779;213528
07316;Neustadt an der Weinstraße;52268;52400;52564;52999;53209
07317;Pirmasens;40267;40101;40046;40125;40416
07318;Speyer;49764;49740;49855;50284;50551
07319;Worms;79727;80296;81010;82102;82595
07320;Zweibrücken;34064;34084;34011;34260;34428
07331;Alzey-Worms;125173;125213;125998;127274;128197
07332;Bad Dürkheim;130927;131041;131530;132203;132960
07333;Donnersbergkreis;75508;75192;74962;75230;75203
07334;Germersheim;124889;125434;126266;127303;128205
07335;Kaiserslautern;104443;104117;104288;104966;105504
07336;Kusel;71766;71098;70883;70997;70899
07337;Südliche Weinstraße;108752;109026;109735;110526;110885
07338;Rhein-Pfalz-Kreis;148079;149068;150051;151546;153043
07339;Mainz-Bingen;202222;203338;204514;208749;209184
07340;Südwestpfalz;97180;96599;96410;96474;95957
08111;Stuttgart;597939;604297;612441;623738;628032
08115;Böblingen;367208;370392;374279;381281;385888
